voc,name,cas,center_cm-1,center_um,target_relative_max,h2o_relative_max,co2_relative_max,other_voc_relative_max,peak_prominence,shape_separation_proxy,rank_within_voc
Benzene._1.4_dichloro_,"1,4-dichlorobenzene",106-46-7,1094.0,9.141,1.0,0.0445,0.0193,0.0702,0.9996,8.3195,1
Benzene._1.4_dichloro_,"1,4-dichlorobenzene",106-46-7,818.0,12.225,0.377,0.0467,0.0295,0.0174,0.3743,3.8987,2
Benzene._1.4_dichloro_,"1,4-dichlorobenzene",106-46-7,1018.0,9.823,0.3694,0.0415,0.0206,0.0709,0.3631,3.0554,3
Benzene._1.4_dichloro_,"1,4-dichlorobenzene",106-46-7,546.0,18.315,0.2666,0.1352,0.0222,0.0633,0.2525,1.4395,4
Benzene._1.4_dichloro_,"1,4-dichlorobenzene",106-46-7,1478.0,6.766,0.9222,0.748,0.0143,0.2622,0.9188,1.1556,5
Benzene._1.4_dichloro_,"1,4-dichlorobenzene",106-46-7,482.0,20.747,0.1641,0.3112,0.0279,0.152,0.1489,0.4543,6
Benzene._1.4_dichloro_,"1,4-dichlorobenzene",106-46-7,1414.0,7.072,0.0632,0.6621,0.0152,0.1751,0.052,0.0888,7
Decane,decane,124-18-5,2934.0,3.408,1.0,0.044,0.0032,1.0,1.0,0.9524,1
Decane,decane,124-18-5,2866.0,3.489,0.3867,0.0415,0.0034,0.4614,0.1685,0.7562,2
Decane,decane,124-18-5,2970.0,3.367,0.542,0.049,0.0031,0.9499,0.1186,0.5421,3
Decane,decane,124-18-5,1466.0,6.821,0.0912,0.748,0.0143,0.9222,0.091,0.0938,4
Toluene,toluene,108-88-3,726.0,13.774,1.0,0.0586,0.0771,0.0372,0.9948,7.8678,1
Toluene,toluene,108-88-3,3042.0,3.287,0.5753,0.0597,0.0029,0.1396,0.5733,3.0343,2
Toluene,toluene,108-88-3,694.0,14.409,0.5281,0.0696,0.1671,0.0319,0.2204,2.4325,3
Toluene,toluene,108-88-3,2934.0,3.408,0.3213,0.044,0.0032,1.0,0.2157,0.306,4
Toluene,toluene,108-88-3,1606.0,6.227,0.1337,0.3926,0.0137,0.0268,0.0962,0.3021,5
Toluene,toluene,108-88-3,1498.0,6.676,0.2622,1.0,0.0144,0.9222,0.2592,0.2497,6
Toluene,toluene,108-88-3,1030.0,9.709,0.0709,0.0436,0.0206,0.3694,0.0644,0.1691,7
X2_Butanone,2-butanone,78-93-3,1174.0,8.518,0.442,0.0457,0.0178,0.3552,0.431,1.0908,1
X2_Butanone,2-butanone,78-93-3,1730.0,5.78,1.0,0.7816,0.0122,0.8762,0.9998,1.0797,2
X2_Butanone,2-butanone,78-93-3,942.0,10.616,0.1172,0.0447,0.0242,0.0589,0.0965,1.0762,3
X2_Butanone,2-butanone,78-93-3,1366.0,7.321,0.4413,0.3107,0.0156,0.4111,0.3962,0.9571,4
X2_Butanone,2-butanone,78-93-3,2990.0,3.344,0.4052,0.0499,0.003,0.8203,0.4048,0.4656,5
X2_Butanone,2-butanone,78-93-3,518.0,19.305,0.0683,0.3208,0.0201,0.1627,0.06,0.1842,6
X2_Butanone,2-butanone,78-93-3,750.0,13.333,0.0649,0.0535,0.0457,0.9502,0.0555,0.0649,7
X2_Heptanone,2-heptanone,110-43-0,2942.0,3.399,1.0,0.049,0.0032,1.0,0.9998,0.9524,1
X2_Heptanone,2-heptanone,110-43-0,1362.0,7.342,0.4111,0.3107,0.0156,0.4413,0.3938,0.8368,2
X2_Heptanone,2-heptanone,110-43-0,1730.0,5.78,0.8762,0.7816,0.0122,1.0,0.8759,0.8345,3
X2_Heptanone,2-heptanone,110-43-0,1162.0,8.606,0.3552,0.0457,0.0182,0.442,0.2747,0.722,4
