voc,name,center_cm-1,concentration_ppb,path_m,peak_attenuation_fraction,window_mean_attenuation_fraction
X2_Butanone,2-butanone,1174.0,1.0,1.0,6.185423352400576e-07,4.6282982746337353e-07
X2_Butanone,2-butanone,1174.0,1.0,10.0,6.185406135728044e-06,4.628288634678235e-06
X2_Butanone,2-butanone,1174.0,1.0,100.0,6.185233971989224e-05,4.628192241074025e-05
X2_Butanone,2-butanone,1174.0,10.0,1.0,6.185406135728044e-06,4.628288634678235e-06
X2_Butanone,2-butanone,1174.0,10.0,10.0,6.185233971989224e-05,4.628192241074025e-05
X2_Butanone,2-butanone,1174.0,10.0,100.0,0.0006183512685544734,0.0004627228452679377
X2_Butanone,2-butanone,1174.0,100.0,1.0,6.185233971989224e-05,4.628192241074025e-05
X2_Butanone,2-butanone,1174.0,100.0,10.0,0.0006183512685544734,0.0004627228452679377
X2_Butanone,2-butanone,1174.0,100.0,100.0,0.006166334903564996,0.0046176052726041306
X2_Butanone,2-butanone,1174.0,1000.0,1.0,0.0006183512685544734,0.0004627228452679377
X2_Butanone,2-butanone,1174.0,1000.0,10.0,0.006166334903564996,0.0046176052726041306
X2_Butanone,2-butanone,1174.0,1000.0,100.0,0.05998011779018242,0.045228270192177344
Toluene,toluene,726.0,1.0,1.0,1.804543330985453e-06,5.03586958577884e-07
Toluene,toluene,726.0,1.0,10.0,1.8045286774182046e-05,5.035858173907393e-06
Toluene,toluene,726.0,1.0,100.0,0.00018043821498980872,5.0357440560144795e-05
Toluene,toluene,726.0,10.0,1.0,1.8045286774182046e-05,5.035858173907393e-06
Toluene,toluene,726.0,10.0,10.0,0.00018043821498980872,5.0357440560144795e-05
Toluene,toluene,726.0,10.0,100.0,0.0018029177469149893,0.0005034603066921273
Toluene,toluene,726.0,100.0,1.0,0.00018043821498980872,5.0357440560144795e-05
Toluene,toluene,726.0,100.0,10.0,0.0018029177469149893,0.0005034603066921273
Toluene,toluene,726.0,100.0,100.0,0.017883605445802142,0.005023212114406039
Toluene,toluene,726.0,1000.0,1.0,0.0018029177469149893,0.0005034603066921273
Toluene,toluene,726.0,1000.0,10.0,0.017883605445802142,0.005023212114406039
Toluene,toluene,726.0,1000.0,100.0,0.16510932923806132,0.04911172842514011
