voc,name,cas,rank,wavenumber_cm-1,wavelength_um,relative_absorbance
X2_Butanone,2-butanone,78-93-3,1,1730.0,5.78,1.0
X2_Butanone,2-butanone,78-93-3,2,1174.0,8.518,0.442
X2_Butanone,2-butanone,78-93-3,3,2990.0,3.344,0.4052
X2_Butanone,2-butanone,78-93-3,4,1366.0,7.321,0.4413
X2_Butanone,2-butanone,78-93-3,5,942.0,10.616,0.1172
Decane,decane,124-18-5,1,2934.0,3.408,1.0
Decane,decane,124-18-5,2,2866.0,3.489,0.3867
Decane,decane,124-18-5,3,2970.0,3.367,0.542
Decane,decane,124-18-5,4,1466.0,6.821,0.0912
X2_Heptanone,2-heptanone,110-43-0,1,2942.0,3.399,1.0
X2_Heptanone,2-heptanone,110-43-0,2,1730.0,5.78,0.8762
X2_Heptanone,2-heptanone,110-43-0,3,1362.0,7.342,0.4111
X2_Heptanone,2-heptanone,110-43-0,4,1162.0,8.606,0.3552
Toluene,toluene,108-88-3,1,726.0,13.774,1.0
Toluene,toluene,108-88-3,2,3042.0,3.287,0.5753
Toluene,toluene,108-88-3,3,1498.0,6.676,0.2622
Toluene,toluene,108-88-3,4,694.0,14.409,0.5054
Toluene,toluene,108-88-3,5,2934.0,3.408,0.3213
Benzene._1.4_dichloro_,"1,4-dichlorobenzene",106-46-7,1,1094.0,9.141,1.0
Benzene._1.4_dichloro_,"1,4-dichlorobenzene",106-46-7,2,1478.0,6.766,0.9222
Benzene._1.4_dichloro_,"1,4-dichlorobenzene",106-46-7,3,818.0,12.225,0.377
Benzene._1.4_dichloro_,"1,4-dichlorobenzene",106-46-7,4,1018.0,9.823,0.3694
Benzene._1.4_dichloro_,"1,4-dichlorobenzene",106-46-7,5,546.0,18.315,0.2666
